ERROR - 02/06/2025 05:29:22 : [1] Something unexpected happened while inserting : BadRequestError(400, 'illegal_argument_exception', 'Document contains at least one immense term in field="m_important_content" (whose UTF8 encoding is longer than the max length 32766), all of which were skipped.  Please correct the analyzer to not produce such terms.  The prefix of the first immense term is: \'[99, 111, 109, 112, 108, 101, 116, 101, 32, 103, 117, 105, 100, 101, 32, 116, 111, 32, 108, 111, 97, 110, 32, 99, 97, 114, 100, 105, 110, 103]...\', original message: bytes can be at most 32766 in length; got 55598') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:159)
ERROR - 02/06/2025 05:33:44 : [1] Something unexpected happened while inserting : BadRequestError(400, 'illegal_argument_exception', 'Document contains at least one immense term in field="m_important_content" (whose UTF8 encoding is longer than the max length 32766), all of which were skipped.  Please correct the analyzer to not produce such terms.  The prefix of the first immense term is: \'[99, 111, 109, 112, 108, 101, 116, 101, 32, 103, 117, 105, 100, 101, 32, 116, 111, 32, 108, 111, 97, 110, 32, 99, 97, 114, 100, 105, 110, 103]...\', original message: bytes can be at most 32766 in length; got 55598') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:159)
ERROR - 02/06/2025 05:38:00 : [1] Something unexpected happened while inserting : Connection timed out - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:159)
ERROR - 02/06/2025 05:40:56 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 05:40:58 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 05:41:28 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 05:41:28 : [1] Something unexpected happened while inserting : BadRequestError(400, 'illegal_argument_exception', 'Document contains at least one immense term in field="m_section" (whose UTF8 encoding is longer than the max length 32766), all of which were skipped.  Please correct the analyzer to not produce such terms.  The prefix of the first immense term is: \'[108, 115, 48, 116, 108, 115, 49, 99, 114, 117, 100, 106, 116, 105, 98, 115, 117, 48, 101, 103, 117, 102, 106, 106, 118, 107, 102, 117, 114, 115]...\', original message: bytes can be at most 32766 in length; got 78361') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:159)
ERROR - 02/06/2025 05:42:07 : [1] Something unexpected happened while inserting : BadRequestError(400, 'illegal_argument_exception', 'Document contains at least one immense term in field="m_important_content" (whose UTF8 encoding is longer than the max length 32766), all of which were skipped.  Please correct the analyzer to not produce such terms.  The prefix of the first immense term is: \'[104, 101, 114, 101, 32, 121, 111, 117, 32, 103, 111, 116, 32, 116, 104, 101, 32, 99, 104, 97, 110, 99, 101, 32, 114, 101, 118, 105, 101, 119]...\', original message: bytes can be at most 32766 in length; got 40999') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:159)
ERROR - 02/06/2025 09:11:10 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:11:48 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:12:05 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:12:05 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:12:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:12:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
