ERROR - 16/06/2025 11:27:17 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'x_content_parse_exception', '[1:86] [highlight] unknown field [m_content]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:20:51 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:20:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:20:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:21:04 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:21:04 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:21:09 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'no mapping found for field [m_content]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:21:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'no mapping found for field [m_content]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:21:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'no mapping found for field [m_content]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:26:47 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-23T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
ERROR - 16/06/2025 12:28:31 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'failed to parse date field [2025-05-24T00:00:00.000000+00:00] with format [yyyy-MM-dd]: [failed to parse date field [2025-05-24T00:00:00.000000+00:00] with format [yyyy-MM-dd]]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:90)
