ERROR - 09/07/2025 09:20:08 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:101)
ERROR - 09/07/2025 09:24:15 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 09:24:15 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 12:36:04 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 12:36:36 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 12:47:34 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 12:47:47 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 13:19:22 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 13:19:50 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 13:20:41 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:02:26 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:13:15 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:29:11 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:49:52 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:50:57 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:51:30 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:52:17 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:54:07 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:54:55 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:55:25 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:58:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:59:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 14:59:15 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:32:39 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:32:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:33:38 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:34:02 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:34:06 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:35:01 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 15:36:21 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 16:45:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 16:45:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 16:45:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 16:45:31 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
ERROR - 09/07/2025 16:54:20 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:102)
