ERROR - 15/07/2025 04:50:49 : [5] Something unexpected happened while reading : Connection timed out - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:171)
ERROR - 15/07/2025 04:58:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'no mapping found for field [m_content]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:108)
ERROR - 15/07/2025 10:02:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:02:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:29:20 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:44:59 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:50:30 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:51:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:55:26 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:55:47 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:57:10 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 10:57:37 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
