ERROR - 23/09/2025 05:40:37 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 23/09/2025 05:45:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:05:59 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:08:33 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:09:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:10:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:12:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:12:29 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:14:21 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:14:21 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 23/09/2025 06:16:41 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
